dataset,random_id,gender_word,stereotype_word,target,attribute
art_science,1,Girl,Song,Female,Art
art_science,2,Bro,Dance,Male,Art
art_science,3,Bro,Song,Male,Art
art_science,4,Girl,Draw,Female,Art
art_science,5,Guy,Spaceship,Male,Science
art_science,6,Mommy,Astronaut,Female,Science
art_science,7,Papa,Song,Male,Art
art_science,8,He,Painting,Male,Art
art_science,9,Himself,Dancing,Male,Art
art_science,10,Brother,Science,Male,Science
art_science,11,Bro,Singing,Male,Art
art_science,12,Mom,Microscope,Female,Science
art_science,13,Mommy,Dance,Female,Art
art_science,14,Her,Draw,Female,Art
art_science,15,Guy,Song,Male,Art
art_science,16,Mommy,Space,Female,Science
art_science,17,Dada,Painting,Male,Art
art_science,18,Mommy,Engineer,Female,Science
art_science,19,Girl,Dance,Female,Art
art_science,20,Papa,Spaceship,Male,Science
art_science,21,Himself,Painting,Male,Art
art_science,22,Girl,Art,Female,Art
art_science,23,Momma,Painting,Female,Art
art_science,24,Father,Singing,Male,Art
art_science,25,Father,Song,Male,Art
art_science,26,Daddy,Song,Male,Art
art_science,27,Mama,Engineer,Female,Science
art_science,28,Herself,Paint,Female,Art
art_science,29,Bro,Scientist,Male,Science
art_science,30,Lady,Sing,Female,Art
art_science,31,His,Painting,Male,Art
art_science,32,Sister,Dance,Female,Art
art_science,33,Her,Drawing,Female,Art
art_science,34,Momma,Astronaut,Female,Science
art_science,35,Female,Chemical,Female,Science
art_science,36,Male,Chemical,Male,Science
art_science,37,Brother,Chemistry,Male,Science
art_science,38,Lady,Art,Female,Art
art_science,39,Mama,Painting,Female,Art
art_science,40,Sis,Sing,Female,Art
art_science,41,Male,Song,Male,Art
art_science,42,Grandma,Chemistry,Female,Science
art_science,43,Father,Science,Male,Science
art_science,44,Dada,Sing,Male,Art
art_science,45,Mom,Scientist,Female,Science
art_science,46,Mother,Dancing,Female,Art
art_science,47,She,Song,Female,Art
art_science,48,Daddy,Space,Male,Science
art_science,49,Papa,Art,Male,Art
art_science,50,Dad,Art,Male,Art
art_science,51,He,Scientist,Male,Science
art_science,52,Female,Dancing,Female,Art
art_science,53,Female,Scientist,Female,Science
art_science,54,Female,Physics,Female,Science
art_science,55,Boy,Painting,Male,Art
art_science,56,Grandpa,Paint,Male,Art
art_science,57,Brother,Dancing,Male,Art
art_science,58,Mama,Art,Female,Art
art_science,59,Brother,Song,Male,Art
art_science,60,He,Science,Male,Science
art_science,61,Mom,Engineer,Female,Science
art_science,62,Guy,Art,Male,Art
art_science,63,Lady,Space,Female,Science
art_science,64,Her,Song,Female,Art
art_science,65,Grandma,Paint,Female,Art
art_science,66,Brother,Paint,Male,Art
art_science,67,Bro,Art,Male,Art
art_science,68,He,Spaceship,Male,Science
art_science,69,She,Dancing,Female,Art
art_science,70,Mother,Draw,Female,Art
art_science,71,Male,Physics,Male,Science
art_science,72,Momma,Drawing,Female,Art
art_science,73,Male,Spaceship,Male,Science
art_science,74,Mama,Draw,Female,Art
art_science,75,Her,Chemistry,Female,Science
art_science,76,Male,Sing,Male,Art
art_science,77,Himself,Chemistry,Male,Science
art_science,78,Lady,Singing,Female,Art
art_science,79,Dada,Art,Male,Art
art_science,80,Mama,Chemistry,Female,Science
art_science,81,Brother,Singing,Male,Art
art_science,82,Mommy,Physics,Female,Science
art_science,83,Guy,Microscope,Male,Science
art_science,84,She,Engineer,Female,Science
art_science,85,Dad,Paint,Male,Art
art_science,86,Female,Singing,Female,Art
art_science,87,Girl,Physics,Female,Science
art_science,88,Sis,Song,Female,Art
art_science,89,Himself,Microscope,Male,Science
art_science,90,He,Physics,Male,Science
art_science,91,Lady,Paint,Female,Art
art_science,92,Himself,Physics,Male,Science
art_science,93,Boy,Physics,Male,Science
art_science,94,Sister,Draw,Female,Art
art_science,95,Herself,Singing,Female,Art
art_science,96,Guy,Scientist,Male,Science
art_science,97,Brother,Draw,Male,Art
art_science,98,Papa,Painting,Male,Art
art_science,99,Bro,Engineer,Male,Science
art_science,100,Grandma,Art,Female,Art
art_science,101,Herself,Sing,Female,Art
art_science,102,Dad,Astronaut,Male,Science
art_science,103,Daddy,Scientist,Male,Science
art_science,104,Mom,Drawing,Female,Art
art_science,105,Grandma,Drawing,Female,Art
art_science,106,Girl,Space,Female,Science
art_science,107,Mommy,Science,Female,Science
art_science,108,Sister,Sing,Female,Art
art_science,109,Himself,Dance,Male,Art
art_science,110,His,Dancing,Male,Art
art_science,111,Lady,Song,Female,Art
art_science,112,Daddy,Dance,Male,Art
art_science,113,He,Dance,Male,Art
art_science,114,Lady,Microscope,Female,Science
art_science,115,His,Song,Male,Art
art_science,116,Lady,Scientist,Female,Science
art_science,117,Daddy,Astronaut,Male,Science
art_science,118,Mommy,Drawing,Female,Art
art_science,119,Mama,Chemical,Female,Science
art_science,120,She,Chemistry,Female,Science
art_science,121,Grandpa,Physics,Male,Science
art_science,122,Female,Astronaut,Female,Science
art_science,123,Girl,Singing,Female,Art
art_science,124,Mama,Astronaut,Female,Science
art_science,125,Mother,Dance,Female,Art
art_science,126,Female,Dance,Female,Art
art_science,127,Sis,Space,Female,Science
art_science,128,Mama,Microscope,Female,Science
art_science,129,Herself,Physics,Female,Science
art_science,130,Momma,Scientist,Female,Science
art_science,131,He,Draw,Male,Art
art_science,132,Sis,Microscope,Female,Science
art_science,133,He,Astronaut,Male,Science
art_science,134,Grandpa,Space,Male,Science
art_science,135,Boy,Draw,Male,Art
