dataset,random_id,gender_word,stereotype_word,target,attribute
good_bad,1,mother,joy,female,good
good_bad,2,papa,good,male,good
good_bad,3,sis,disaster,female,bad
good_bad,4,his,kill,male,bad
good_bad,5,mom,disaster,female,bad
good_bad,6,female,happy,female,good
good_bad,7,papa,virus,male,bad
good_bad,8,his,honest,male,good
good_bad,9,dada,laughter,male,good
good_bad,10,brother,joy,male,good
good_bad,11,mom,virus,female,bad
good_bad,12,he,death,male,bad
good_bad,13,father,abuse,male,bad
good_bad,14,bro,delight,male,good
good_bad,15,she,torture,female,bad
good_bad,16,her,murder,female,bad
good_bad,17,grandma,virus,female,bad
good_bad,18,female,bad,female,bad
good_bad,19,sis,laughter,female,good
good_bad,20,her,lover,female,good
good_bad,21,girl,happiness,female,good
good_bad,22,her,lovable,female,good
good_bad,23,grandma,bad,female,bad
good_bad,24,female,die,female,bad
good_bad,25,mommy,excited,female,good
good_bad,26,lady,delight,female,good
good_bad,27,his,die,male,bad
good_bad,28,bro,nightmare,male,bad
good_bad,29,father,die,male,bad
good_bad,30,momma,honest,female,good
good_bad,31,he,nightmare,male,bad
good_bad,32,mother,disease,female,bad
good_bad,33,brother,stress,male,bad
good_bad,34,daddy,lovable,male,good
good_bad,35,male,death,male,bad
good_bad,36,grandpa,delight,male,good
good_bad,37,dad,delight,male,good
good_bad,38,sis,stress,female,bad
good_bad,39,grandma,delight,female,good
good_bad,40,male,die,male,bad
good_bad,41,his,disease,male,bad
good_bad,42,lady,relaxing,female,good
good_bad,43,dada,joy,male,good
good_bad,44,himself,honest,male,good
good_bad,45,grandpa,laughter,male,good
good_bad,46,she,lovable,female,good
good_bad,47,guy,fantastic,male,good
good_bad,48,mama,magical,female,good
good_bad,49,male,mourning,male,bad
good_bad,50,sis,disease,female,bad
good_bad,51,girl,stress,female,bad
good_bad,52,father,disease,male,bad
good_bad,53,male,cheerful,male,good
good_bad,54,male,delight,male,good
good_bad,55,lady,fantastic,female,good
good_bad,56,boy,murder,male,bad
good_bad,57,lady,happy,female,good
good_bad,58,mom,stress,female,bad
good_bad,59,lady,fun,female,good
good_bad,60,lady,nightmare,female,bad
good_bad,61,girl,bad,female,bad
good_bad,62,dad,lovable,male,good
good_bad,63,girl,mourning,female,bad
good_bad,64,dada,lovable,male,good
good_bad,65,sister,virus,female,bad
good_bad,66,dad,stress,male,bad
good_bad,67,mother,happiness,female,good
good_bad,68,mommy,good,female,good
good_bad,69,lady,wreck,female,bad
good_bad,70,daddy,happy,male,good
good_bad,71,boy,excited,male,good
good_bad,72,lady,disaster,female,bad
good_bad,73,sis,happy,female,good
good_bad,74,grandma,wreck,female,bad
good_bad,75,dada,virus,male,bad
good_bad,76,mommy,virus,female,bad
good_bad,77,dada,mourning,male,bad
good_bad,78,papa,killer,male,bad
good_bad,79,mommy,delight,female,good
good_bad,80,guy,abuse,male,bad
good_bad,81,her,disease,female,bad
good_bad,82,female,excited,female,good
good_bad,83,she,virus,female,bad
good_bad,84,grandma,laughter,female,good
good_bad,85,himself,good,male,good
good_bad,86,father,wreck,male,bad
good_bad,87,grandpa,joy,male,good
good_bad,88,brother,death,male,bad
good_bad,89,sis,delight,female,good
good_bad,90,himself,fun,male,good
good_bad,91,brother,murder,male,bad
good_bad,92,sister,magical,female,good
good_bad,93,he,bad,male,bad
good_bad,94,bro,stress,male,bad
good_bad,95,bro,lover,male,good
good_bad,96,mom,wreck,female,bad
good_bad,97,papa,disease,male,bad
good_bad,98,guy,die,male,bad
good_bad,99,dada,wreck,male,bad
good_bad,100,her,virus,female,bad
good_bad,101,himself,delight,male,good
good_bad,102,herself,disease,female,bad
good_bad,103,male,laughter,male,good
good_bad,104,herself,nightmare,female,bad
good_bad,105,mother,killer,female,bad
good_bad,106,herself,fun,female,good
good_bad,107,lady,murder,female,bad
good_bad,108,boy,nightmare,male,bad
good_bad,109,mama,delight,female,good
good_bad,110,female,laughter,female,good
good_bad,111,guy,happy,male,good
good_bad,112,mommy,wreck,female,bad
good_bad,113,momma,bad,female,bad
good_bad,114,guy,wreck,male,bad
