dataset,random_id,gender_word,stereotype_word,target,attribute
home_work,1,brother,house,male,home
home_work,2,dada,trade,male,work
home_work,3,she,wedding,female,home
home_work,4,female,wedding,female,home
home_work,5,lady,house,female,home
home_work,6,lady,marry,female,home
home_work,7,bro,business,male,work
home_work,8,his,activity,male,work
home_work,9,girl,work,female,work
home_work,10,himself,family,male,home
home_work,11,father,house,male,home
home_work,12,momma,home,female,home
home_work,13,dada,office,male,work
home_work,14,momma,job,female,work
home_work,15,grandpa,job,male,work
home_work,16,mommy,money,female,work
home_work,17,father,work,male,work
home_work,18,father,office,male,work
home_work,19,girl,home,female,home
home_work,20,himself,office,male,work
home_work,21,papa,act,male,work
home_work,22,guy,house,male,home
home_work,23,dada,job,male,work
home_work,24,male,home,male,home
home_work,25,guy,baby,male,home
home_work,26,female,marry,female,home
home_work,27,sister,act,female,work
home_work,28,grandma,kid,female,home
home_work,29,sister,house,female,home
home_work,30,he,activity,male,work
home_work,31,male,money,male,work
home_work,32,dada,home,male,home
home_work,33,male,wedding,male,home
home_work,34,female,kid,female,home
home_work,35,mommy,trade,female,work
home_work,36,boy,business,male,work
home_work,37,his,act,male,work
home_work,38,sister,activity,female,work
home_work,39,bro,house,male,home
home_work,40,he,family,male,home
home_work,41,lady,business,female,work
home_work,42,father,job,male,work
home_work,43,papa,job,male,work
home_work,44,himself,work,male,work
home_work,45,mom,wedding,female,home
home_work,46,sis,house,female,home
home_work,47,himself,baby,male,home
home_work,48,guy,home,male,home
home_work,49,brother,family,male,home
home_work,50,guy,activity,male,work
home_work,51,himself,kid,male,home
home_work,52,mom,house,female,home
home_work,53,female,money,female,work
home_work,54,mama,home,female,home
home_work,55,guy,trade,male,work
home_work,56,dad,activity,male,work
home_work,57,mama,kid,female,home
home_work,58,he,kid,male,home
home_work,59,his,family,male,home
home_work,60,his,home,male,home
home_work,61,bro,baby,male,home
home_work,62,himself,wedding,male,home
home_work,63,grandma,home,female,home
home_work,64,bro,trade,male,work
home_work,65,she,house,female,home
home_work,66,he,marry,male,home
home_work,67,male,business,male,work
home_work,68,sister,home,female,home
home_work,69,mother,kid,female,home
home_work,70,his,wedding,male,home
home_work,71,father,act,male,work
home_work,72,his,marry,male,home
home_work,73,her,job,female,work
home_work,74,girl,business,female,work
home_work,75,herself,activity,female,work
home_work,76,her,activity,female,work
home_work,77,lady,job,female,work
home_work,78,grandma,family,female,home
home_work,79,daddy,job,male,work
home_work,80,grandma,act,female,work
home_work,81,her,home,female,home
home_work,82,mama,act,female,work
home_work,83,she,activity,female,work
home_work,84,male,marry,male,home
home_work,85,lady,activity,female,work
home_work,86,her,baby,female,home
home_work,87,he,job,male,work
home_work,88,mother,office,female,work
home_work,89,himself,act,male,work
home_work,90,he,act,male,work
home_work,91,mother,act,female,work
home_work,92,daddy,activity,male,work
home_work,93,boy,home,male,home
home_work,94,momma,money,female,work
home_work,95,himself,business,male,work
home_work,96,momma,business,female,work
home_work,97,daddy,home,male,home
home_work,98,papa,office,male,work
home_work,99,mom,act,female,work
home_work,100,boy,office,male,work
home_work,101,he,house,male,home
home_work,102,his,office,male,work
home_work,103,he,business,male,work
home_work,104,guy,marry,male,home
home_work,105,boy,money,male,work
home_work,106,daddy,trade,male,work
home_work,107,himself,money,male,work
home_work,108,father,home,male,home
home_work,109,grandpa,home,male,home
home_work,110,mother,baby,female,home
home_work,111,male,baby,male,home
home_work,112,girl,wedding,female,home
home_work,113,grandpa,trade,male,work
home_work,114,daddy,kid,male,home
home_work,115,mom,marry,female,home
home_work,116,mom,business,female,work
home_work,117,brother,job,male,work
home_work,118,grandma,baby,female,home
home_work,119,mom,home,female,home
home_work,120,mama,activity,female,work
home_work,121,himself,trade,male,work
home_work,122,his,money,male,work
home_work,123,grandma,office,female,work
home_work,124,grandma,wedding,female,home
home_work,125,mama,trade,female,work
home_work,126,mommy,home,female,home
home_work,127,she,home,female,home
home_work,128,her,office,female,work
home_work,129,he,office,male,work
home_work,130,mama,money,female,work
home_work,131,dad,office,male,work
home_work,132,she,trade,female,work
home_work,133,his,kid,male,home
home_work,134,mom,activity,female,work
home_work,135,momma,office,female,work
home_work,136,dad,work,male,work
home_work,137,momma,house,female,home
home_work,138,female,baby,female,home
home_work,139,female,home,female,home
home_work,140,father,baby,male,home
home_work,141,mother,business,female,work
home_work,142,sis,kid,female,home
home_work,143,papa,family,male,home
home_work,144,papa,trade,male,work
home_work,145,sister,office,female,work
home_work,146,male,family,male,home
home_work,147,dada,activity,male,work
home_work,148,female,trade,female,work
home_work,149,dad,money,male,work
home_work,150,her,business,female,work
home_work,151,grandpa,wedding,male,home
home_work,152,grandpa,office,male,work
home_work,153,female,work,female,work
home_work,154,lady,act,female,work
home_work,155,mommy,baby,female,home
home_work,156,dad,business,male,work
home_work,157,mother,marry,female,home
home_work,158,mama,wedding,female,home
home_work,159,herself,baby,female,home
home_work,160,boy,wedding,male,home
home_work,161,female,job,female,work
home_work,162,female,act,female,work
home_work,163,daddy,money,male,work
home_work,164,mother,money,female,work
home_work,165,dada,business,male,work
home_work,166,herself,trade,female,work
home_work,167,sis,money,female,work
home_work,168,grandpa,activity,male,work
home_work,169,girl,marry,female,home
home_work,170,momma,baby,female,home
home_work,171,bro,home,male,home
home_work,172,dada,kid,male,home
home_work,173,bro,job,male,work
home_work,174,she,job,female,work
home_work,175,boy,baby,male,home
home_work,176,his,business,male,work
home_work,177,she,kid,female,home
home_work,178,her,house,female,home
home_work,179,grandma,trade,female,work
home_work,180,sis,baby,female,home
home_work,181,she,money,female,work
home_work,182,mommy,marry,female,home
home_work,183,daddy,house,male,home
home_work,184,momma,marry,female,home
home_work,185,bro,act,male,work
home_work,186,dada,marry,male,home
home_work,187,her,kid,female,home
home_work,188,father,kid,male,home
home_work,189,sis,family,female,home
home_work,190,papa,kid,male,home
home_work,191,mommy,work,female,work
home_work,192,mama,family,female,home
home_work,193,herself,office,female,work
home_work,194,sis,act,female,work
home_work,195,mommy,job,female,work
home_work,196,boy,family,male,home
home_work,197,guy,family,male,home
home_work,198,herself,act,female,work
home_work,199,dad,trade,male,work
home_work,200,grandpa,kid,male,home
home_work,201,she,business,female,work
home_work,202,himself,house,male,home
home_work,203,momma,act,female,work
home_work,204,guy,office,male,work
home_work,205,mom,work,female,work
home_work,206,his,house,male,home
home_work,207,papa,wedding,male,home
home_work,208,brother,marry,male,home
home_work,209,mama,office,female,work
home_work,210,boy,house,male,home
home_work,211,brother,activity,male,work
home_work,212,mama,marry,female,home
home_work,213,girl,activity,female,work
home_work,214,dad,wedding,male,home
home_work,215,she,act,female,work
home_work,216,dada,act,male,work
home_work,217,father,marry,male,home
home_work,218,mother,activity,female,work
home_work,219,grandma,work,female,work
home_work,220,mommy,house,female,home
home_work,221,papa,business,male,work
home_work,222,brother,work,male,work
home_work,223,mommy,office,female,work
home_work,224,female,office,female,work
home_work,225,her,trade,female,work
home_work,226,herself,marry,female,home
home_work,227,momma,trade,female,work
home_work,228,mother,job,female,work
home_work,229,grandma,business,female,work
home_work,230,mama,work,female,work
home_work,231,mommy,wedding,female,home
home_work,232,himself,home,male,home
home_work,233,boy,job,male,work
home_work,234,sister,baby,female,home
home_work,235,father,family,male,home
home_work,236,lady,home,female,home
home_work,237,her,work,female,work
home_work,238,bro,office,male,work
home_work,239,guy,job,male,work
home_work,240,girl,job,female,work
home_work,241,momma,kid,female,home
home_work,242,papa,house,male,home
home_work,243,himself,activity,male,work
home_work,244,lady,kid,female,home
home_work,245,mama,house,female,home
home_work,246,grandma,activity,female,work
home_work,247,brother,money,male,work
home_work,248,guy,kid,male,home
home_work,249,female,house,female,home
home_work,250,dad,kid,male,home
home_work,251,lady,baby,female,home
home_work,252,girl,kid,female,home
home_work,253,mom,office,female,work
home_work,254,her,family,female,home
home_work,255,dada,baby,male,home
home_work,256,daddy,business,male,work
home_work,257,she,marry,female,home
home_work,258,mommy,business,female,work
home_work,259,female,business,female,work
home_work,260,momma,wedding,female,home
home_work,261,grandpa,work,male,work
home_work,262,sister,wedding,female,home
home_work,263,bro,marry,male,home
home_work,264,grandpa,house,male,home
home_work,265,brother,wedding,male,home
home_work,266,he,money,male,work
home_work,267,female,family,female,home
home_work,268,papa,home,male,home
home_work,269,she,work,female,work
home_work,270,grandma,house,female,home
home_work,271,sis,trade,female,work
home_work,272,he,wedding,male,home
home_work,273,papa,baby,male,home
home_work,274,grandma,job,female,work
home_work,275,dada,family,male,home
home_work,276,male,office,male,work
home_work,277,grandma,money,female,work
home_work,278,sis,wedding,female,home
home_work,279,male,activity,male,work
home_work,280,papa,marry,male,home
home_work,281,lady,trade,female,work
home_work,282,papa,activity,male,work
home_work,283,herself,job,female,work
home_work,284,papa,money,male,work
home_work,285,male,house,male,home
home_work,286,mama,job,female,work
home_work,287,his,baby,male,home
home_work,288,grandpa,act,male,work
home_work,289,mama,baby,female,home
home_work,290,his,work,male,work
home_work,291,dad,act,male,work
home_work,292,her,act,female,work
home_work,293,daddy,wedding,male,home
home_work,294,she,baby,female,home
home_work,295,sis,job,female,work
home_work,296,momma,activity,female,work
home_work,297,male,job,male,work
home_work,298,girl,money,female,work
home_work,299,dad,family,male,home
home_work,300,dada,money,male,work
home_work,301,boy,trade,male,work
home_work,302,bro,work,male,work
home_work,303,brother,home,male,home
home_work,304,father,trade,male,work
home_work,305,daddy,office,male,work
home_work,306,her,marry,female,home
home_work,307,bro,money,male,work
home_work,308,grandma,marry,female,home
home_work,309,mom,family,female,home
home_work,310,guy,business,male,work
home_work,311,papa,work,male,work
home_work,312,brother,office,male,work
home_work,313,bro,activity,male,work
home_work,314,grandpa,money,male,work
home_work,315,sister,work,female,work
home_work,316,bro,family,male,home
home_work,317,she,family,female,home
home_work,318,guy,money,male,work
home_work,319,mother,house,female,home
home_work,320,mother,wedding,female,home
home_work,321,grandpa,baby,male,home
home_work,322,female,activity,female,work
home_work,323,girl,family,female,home
home_work,324,his,trade,male,work
home_work,325,male,act,male,work
home_work,326,dada,wedding,male,home
home_work,327,sister,marry,female,home
home_work,328,boy,kid,male,home
home_work,329,father,activity,male,work
home_work,330,mother,work,female,work
home_work,331,girl,trade,female,work
home_work,332,momma,work,female,work
home_work,333,he,work,male,work
home_work,334,girl,house,female,home
home_work,335,lady,money,female,work
home_work,336,sis,activity,female,work
home_work,337,mommy,act,female,work
home_work,338,sister,job,female,work
home_work,339,lady,wedding,female,home
home_work,340,sister,trade,female,work
home_work,341,brother,trade,male,work
home_work,342,her,money,female,work
home_work,343,he,baby,male,home
home_work,344,sis,home,female,home
home_work,345,mom,money,female,work
home_work,346,girl,act,female,work
home_work,347,herself,house,female,home
home_work,348,dada,work,male,work
home_work,349,momma,family,female,home
home_work,350,dad,marry,male,home
home_work,351,daddy,work,male,work
home_work,352,mommy,family,female,home
home_work,353,male,trade,male,work
home_work,354,mom,kid,female,home
home_work,355,daddy,act,male,work
home_work,356,bro,wedding,male,home
home_work,357,lady,office,female,work
home_work,358,herself,home,female,home
home_work,359,brother,act,male,work
home_work,360,sister,family,female,home
home_work,361,himself,job,male,work
home_work,362,herself,money,female,work
home_work,363,mom,job,female,work
home_work,364,herself,business,female,work
home_work,365,mother,home,female,home
home_work,366,brother,baby,male,home
home_work,367,herself,work,female,work
home_work,368,sister,kid,female,home
home_work,369,he,trade,male,work
home_work,370,boy,activity,male,work
home_work,371,he,home,male,home
home_work,372,sister,money,female,work
home_work,373,daddy,baby,male,home
home_work,374,her,wedding,female,home
home_work,375,guy,act,male,work
home_work,376,lady,work,female,work
home_work,377,mom,baby,female,home
home_work,378,mommy,kid,female,home
home_work,379,guy,work,male,work
home_work,380,dad,job,male,work
home_work,381,grandpa,business,male,work
home_work,382,mother,family,female,home
home_work,383,dada,house,male,home
home_work,384,herself,kid,female,home
home_work,385,herself,wedding,female,home
home_work,386,sis,office,female,work
home_work,387,boy,work,male,work
home_work,388,sis,work,female,work
home_work,389,sis,marry,female,home
home_work,390,girl,office,female,work
home_work,391,grandpa,family,male,home
home_work,392,dad,house,male,home
home_work,393,sis,business,female,work
home_work,394,himself,marry,male,home
home_work,395,mother,trade,female,work
home_work,396,sister,business,female,work
home_work,397,bro,kid,male,home
home_work,398,mommy,activity,female,work
home_work,399,boy,act,male,work
home_work,400,boy,marry,male,home
home_work,401,father,business,male,work
home_work,402,girl,baby,female,home
home_work,403,father,money,male,work
home_work,404,dad,baby,male,home
home_work,405,his,job,male,work
home_work,406,mom,trade,female,work
home_work,407,herself,family,female,home
home_work,408,daddy,marry,male,home
home_work,409,lady,family,female,home
home_work,410,dad,home,male,home
home_work,411,mama,business,female,work
home_work,412,she,office,female,work
home_work,413,father,wedding,male,home
home_work,414,daddy,family,male,home
home_work,415,grandpa,marry,male,home
home_work,416,male,work,male,work
home_work,417,brother,kid,male,home
home_work,418,male,kid,male,home
home_work,419,guy,wedding,male,home
home_work,420,brother,business,male,work
