dataset,random_id,gender_word,stereotype_word,target,attribute
reading_math,1,grandpa,number,male,Math
reading_math,2,himself,counting,male,Math
reading_math,3,mom,subtraction,female,Math
reading_math,4,herself,math,female,Math
reading_math,5,guy,puzzle,male,Math
reading_math,6,boy,word,male,Reading
reading_math,7,female,word,female,Reading
reading_math,8,grandma,read,female,Reading
reading_math,9,lady,count,female,Math
reading_math,10,he,addition,male,Math
reading_math,11,sis,number,female,Math
reading_math,12,dada,addition,male,Math
reading_math,13,male,read,male,Reading
reading_math,14,mama,write,female,Reading
reading_math,15,mommy,subtraction,female,Math
reading_math,16,male,count,male,Math
reading_math,17,his,tale,male,Reading
reading_math,18,grandma,subtraction,female,Math
reading_math,19,sis,tale,female,Reading
reading_math,20,mama,calculator,female,Math
reading_math,21,papa,story,male,Reading
reading_math,22,boy,subtraction,male,Math
reading_math,23,father,math,male,Math
reading_math,24,bro,tale,male,Reading
reading_math,25,father,word,male,Reading
reading_math,26,his,write,male,Reading
reading_math,27,guy,subtraction,male,Math
reading_math,28,sister,counting,female,Math
reading_math,29,grandpa,story,male,Reading
reading_math,30,her,reading,female,Reading
reading_math,31,brother,number,male,Math
reading_math,32,herself,addition,female,Math
reading_math,33,she,reading,female,Reading
reading_math,34,mother,book,female,Reading
reading_math,35,girl,subtraction,female,Math
reading_math,36,herself,calculator,female,Math
reading_math,37,sister,story,female,Reading
reading_math,38,female,book,female,Reading
reading_math,39,dada,reading,male,Reading
reading_math,40,daddy,subtraction,male,Math
reading_math,41,father,count,male,Math
reading_math,42,mom,calculator,female,Math
reading_math,43,mama,number,female,Math
reading_math,44,momma,puzzle,female,Math
reading_math,45,her,story,female,Reading
reading_math,46,his,math,male,Math
reading_math,47,he,read,male,Reading
reading_math,48,grandpa,read,male,Reading
reading_math,49,male,write,male,Reading
reading_math,50,grandpa,tale,male,Reading
reading_math,51,grandma,math,female,Math
reading_math,52,grandma,addition,female,Math
reading_math,53,her,number,female,Math
reading_math,54,sis,read,female,Reading
reading_math,55,grandpa,book,male,Reading
reading_math,56,girl,write,female,Reading
reading_math,57,girl,addition,female,Math
reading_math,58,grandpa,word,male,Reading
reading_math,59,female,math,female,Math
reading_math,60,she,subtraction,female,Math
reading_math,61,herself,writing,female,Reading
reading_math,62,bro,read,male,Reading
reading_math,63,daddy,number,male,Math
reading_math,64,mama,subtraction,female,Math
reading_math,65,himself,puzzle,male,Math
reading_math,66,his,word,male,Reading
reading_math,67,grandma,reading,female,Reading
reading_math,68,her,puzzle,female,Math
reading_math,69,dad,read,male,Reading
reading_math,70,sister,addition,female,Math
reading_math,71,himself,read,male,Reading
reading_math,72,grandpa,math,male,Math
reading_math,73,brother,story,male,Reading
reading_math,74,sister,math,female,Math
reading_math,75,guy,word,male,Reading
reading_math,76,sis,count,female,Math
reading_math,77,herself,reading,female,Reading
reading_math,78,brother,book,male,Reading
reading_math,79,he,counting,male,Math
reading_math,80,father,tale,male,Reading
reading_math,81,mother,subtraction,female,Math
reading_math,82,mother,word,female,Reading
reading_math,83,sis,reading,female,Reading
reading_math,84,himself,math,male,Math
reading_math,85,papa,math,male,Math
reading_math,86,papa,writing,male,Reading
reading_math,87,papa,subtraction,male,Math
reading_math,88,momma,counting,female,Math
reading_math,89,female,tale,female,Reading
reading_math,90,brother,addition,male,Math
reading_math,91,guy,counting,male,Math
reading_math,92,dada,book,male,Reading
reading_math,93,sister,tale,female,Reading
reading_math,94,grandma,word,female,Reading
reading_math,95,momma,tale,female,Reading
reading_math,96,she,write,female,Reading
reading_math,97,dad,addition,male,Math
reading_math,98,male,counting,male,Math
reading_math,99,father,story,male,Reading
reading_math,100,sis,word,female,Reading
reading_math,101,lady,tale,female,Reading
reading_math,102,dada,word,male,Reading
reading_math,103,he,story,male,Reading
reading_math,104,mommy,tale,female,Reading
reading_math,105,grandma,write,female,Reading
reading_math,106,male,story,male,Reading
reading_math,107,guy,story,male,Reading
reading_math,108,mother,puzzle,female,Math
reading_math,109,brother,word,male,Reading
reading_math,110,father,read,male,Reading
reading_math,111,mother,read,female,Reading
reading_math,112,he,writing,male,Reading
reading_math,113,his,puzzle,male,Math
reading_math,114,boy,reading,male,Reading
reading_math,115,momma,reading,female,Reading
reading_math,116,sister,subtraction,female,Math
reading_math,117,mom,puzzle,female,Math
reading_math,118,daddy,story,male,Reading
reading_math,119,herself,number,female,Math
reading_math,120,grandpa,puzzle,male,Math
reading_math,121,sister,reading,female,Reading
reading_math,122,sis,write,female,Reading
reading_math,123,dad,book,male,Reading
reading_math,124,girl,writing,female,Reading
reading_math,125,lady,write,female,Reading
reading_math,126,daddy,read,male,Reading
reading_math,127,girl,puzzle,female,Math
reading_math,128,daddy,puzzle,male,Math
reading_math,129,sister,read,female,Reading
reading_math,130,sister,count,female,Math
reading_math,131,her,counting,female,Math
reading_math,132,male,math,male,Math
reading_math,133,bro,calculator,male,Math
reading_math,134,himself,word,male,Reading
reading_math,135,guy,book,male,Reading
reading_math,136,mama,puzzle,female,Math
reading_math,137,female,read,female,Reading
reading_math,138,grandpa,subtraction,male,Math
reading_math,139,guy,reading,male,Reading
reading_math,140,papa,book,male,Reading
reading_math,141,mom,count,female,Math
reading_math,142,himself,write,male,Reading
reading_math,143,grandpa,count,male,Math
reading_math,144,grandma,number,female,Math
reading_math,145,dada,subtraction,male,Math
reading_math,146,male,number,male,Math
reading_math,147,herself,read,female,Reading
